Kanji,Kana,English,Romaji
立つ,たつ,to stand; to rise,tatsu  
呼ぶ,よぶ,to call; to summon,yobu  
大学,だいがく,university; college,daigaku  
安い,やすい,cheap; inexpensive,yasui  
もっと,もっと,more; further,motto  
帰る,かえる,to return; to go back,kaeru  
分かる,わかる,to understand; to know,wakaru  
広い,ひろい,wide; spacious,hiroi  
数,かず,number; amount,kazu  
近い,ちかい,near; close,chikai  
そこ,そこ,there; that place,soko  
走る,はしる,to run,hashiru  
入れる,いれる,to insert; to put in,ireru  
教える,おしえる,to teach; to inform,oshieru  
歩く,あるく,to walk,aruku 
会う,あう,to meet; to encounter,au  
書く,かく,to write, kaku  
頭,あたま,head; mind,atama  
売る,うる,to sell,uru  
大好き,だいすき,very fond of; love, daisuki  
体,からだ,body; physique,karada  
直ぐ,すぐ,immediately; soon,sugu  
飛ぶ,とぶ,to fly; to jump,tobu  
とても,とても,very; extremely,totemo  
誰,だれ,who; whom,dare  
好き,すき,to like; to be fond of,suki  
読む,よむ,to read,yomu  
次,つぎ,next; following,tsugi  
あなた,あなた,you (polite),anata  
飲む,のむ,to drink,nomu  
古い,ふるい,old; ancient,furui  
質問,しつもん,question; inquiry,shitsumon  
今日,きょう,today; this day,kyou  
友達,ともだち,friend; companion,tomodachi  
早い,はやい,fast; early,hayai  
どれ,どれ,which (of three or more),dore  
美しい,うつくしい,beautiful; lovely,utsukushii  
いつも,いつも,always; usually,itsumo  
足,あし,foot; leg,ashi  
起こす,おこす,to wake someone up; to cause,okosu  
見せる,みせる,to show; to display,miseru  
娘,むすめ,daughter; girl,musume  
楽しむ,たのしむ,to enjoy; to have fun,tanoshimu  
色,いろ,color; hue,iro  
みんな,みんな,everyone; all,minna  
取る,とる,to take; to grab,toru  
勉強,べんきょう,study; diligence,benkyou  
できる,できる,to be able to; can,dekiru  
短い,みじかい,short (length),mijikai  
落ちる,おちる,to fall; to drop,ochiru  
息子,むすこ,son; boy,musuko  
白い,しろい,white; pure,shiroi  
飛行機,ひこうき,airplane; aircraft,hikouki  
病気,びょうき,illness; sickness,byouki  
冬,ふゆ,winter; cold season,fuyu  
年,とし,year; age,toshi  
重い,おもい,heavy; serious (illness),omoi  
胸,むね,chest; heart, mune  
払う,はらう,to pay; to brush off,harau  
軽い,かるい,light (weight); gentle,karui  
見つける,みつける,to find; to discover,mitsukeru  
忘れる,わすれる,to forget,wasureru  
酒,さけ,alcohol; sake,sake  
どちら,どちら,which (of two); where,dochira  
姉,あね,older sister,ane  
覚える,おぼえる,to remember; to learn,oboeru  
狭い,せまい,narrow; confined,semai  
赤い,あかい,red,akai  
着る,きる,to wear (clothes),kiru  
笑う,わらう,to laugh; to smile,warau  
一番,いちばん,number one; the best; the most,ichiban  
授業,じゅぎょう,class; lesson,jugyou  
週,しゅう,week,shuu  
漢字,かんじ,kanji (Chinese characters),kanji  
自転車,じてんしゃ,bicycle,jitensha  
電車,でんしゃ,train,densha  
探す,さがす,to search; to look for,sagasu  
紙,かみ,paper,kami  
歌う,うたう,to sing,utau  
遅い,おそい,slow; late,osoi  
首,くび,neck,kubi  
速い,はやい,fast; quick,hayai  
一緒に,いっしょに,together,issho ni  
今月,こんげつ,this month,kongetsu  
遊ぶ,あそぶ,to play; to have fun,asobu  
遠い,とおい,far; distant,tooi  
弱い,よわい,weak; frail,yowai  
耳,みみ,ear,mimi  
座る,すわる,to sit down,suwaru  
右,みぎ,right (direction),migi  
浴びる,あびる,to bathe; to shower,abiru  
肩,かた,shoulder,kata  
寝る,ねる,to sleep; to lie down,neru  
消す,けす,to erase; to turn off,kesu  
元気,げんき,healthy; energetic,genki  
全部,ぜんぶ,all; everything,zenbu  
去年,きょねん,last year,kyonen  
引く,ひく,to pull; to subtract,hiku  
図書館,としょかん,library,toshokan  
上げる,あげる,to give; to raise,ageru  
緑,みどり,green; greenery,midori  
腕,うで,arm; skill,ude  
ドア,どあ,door,doa  
女の子,おんなのこ,girl,onna no ko  
男の子,おとこのこ,boy,otoko no ko       
私たち,わたしたち,we; us,watashitachi  
近く,ちかく,near; nearby,chikaku  
やる,やる,to do; to give,yaru  
かなり,かなり,considerably; quite,kanari  
国,くに,country,kuni  
起こる,おこる,to occur; to happen,okoru  
秋,あき,autumn,aki  
送る,おくる,to send; to escort,okuru  
死ぬ,しぬ,to die,shinu  
気持ち,きもち,feeling; mood,kimochi 
乗る,のる,to ride; to board,noru  
いる,いる,to exist; to be (for animate objects),iru  
木,き,tree; wood,ki  
開ける,あける,to open (something),akeru  
閉める,しめる,to close (something),shimeru  
続く,つづく,to continue; to follow,tsuzuku  
お医者さん,おいしゃさん,doctor,oishasan  
円,えん,yen; circle,en  
ここ,ここ,here,koko  
待つ,まつ,to wait,matsu  
低い,ひくい,low; short,hikui  
もらう,もらう,to receive,morau  
食べる,たべる,to eat,taberu  
兄,あに,older brother,ani  
名前,なまえ,name,namae  
夫,おっと,husband,otto  
一,いち,one,ichi  
結婚,けっこん,marriage,kekkon  
親,おや,parent,oya  
話す,はなす,to speak; to talk,hanasu  
少し,すこし,a little, sukoshi  
閉じる,とじる,to close (something); to shut,tojiru
時,とき,time; moment,toki  
米,こめ,rice (uncooked),kome  
切る,きる,to cut,kiru  
楽しい,たのしい,fun; enjoyable,tanoshii  
服,ふく,clothes,fuku  
後ろ,うしろ,behind; back,ushiro  
嬉しい,うれしい,glad; happy,ureshii  
腰,こし,waist,koshi  
日曜日,にちようび,Sunday,nichiyoubi  
昼,ひる,daytime; noon,hiru  
お母さん,おかあさん,mother,okaasan  
大学生,だいがくせい,college student,daigakusei  
終わり,おわり,end,owari  
背,せ,height (of a person),se  
手伝う,てつだう,to help,tetsudau  
鼻,はな,nose,hana  
起きる,おきる,to wake up; to get up,okiru  
載せる,のせる,to put on; to publish,noseru  
悲しい,かなしい,sad,kanashii  
しゃべる,しゃべる,to talk; to chat,shaberu  
近く,ちかく,near; vicinity,chikaku  
甘い,あまい,sweet,amai  
テーブル,てーぶる,table,teeburu  
食べ物,たべもの,food,tabe-mono  
始まる,はじまる,to begin,hajimaru  
ゲーム,げーむ,game,geemu  
十,じゅう,ten,juu  
天気,てんき,weather,tenki  
暑い,あつい,hot (weather),atsui  
太い,ふとい,thick,futoi  
晩,ばん,evening,ban  
土曜日,どようび,Saturday,doyoubi  
痛い,いたい,painful,itai  
お父さん,おとうさん,father,otousan  
多分,たぶん,probably,tabun
時計,とけい,clock; watch,tokei  
泊まる,とまる,to stay (at a place),tomaru  
どうして,どうして,why,doushite  
掛ける,かける,to hang; to make a call,kakeru  
曲がる,まがる,to turn,magaru  
お腹,おなか,stomach,onaka  
ミーティング,みーてぃんぐ,meeting,miitingu  
嫌い,きらい,dislike,kirai  
金曜日,きんようび,Friday,kinyoubi  
要る,いる,to need,iru  
無い,ない,not to exist,nai
風邪,かぜ,cold (illness),kaze  
黄色い,きいろい,yellow,kiiroi  
優しい,やさしい,kind,yasashii  
晴れる,はれる,to clear up (weather),hareru  
汚い,きたない,dirty,kitanai  
茶色,ちゃいろ,brown,chairo  
空く,あく,to become empty,aku  
上る,のぼる,to climb; to go up,noboru  
ご飯,ごはん,rice; meal,gohan  
日,ひ,day; sun,hi  
髪の毛,かみのけ,hair (on the head),kaminoke  
つける,つける,to attach; to turn on,tsukeru  
月曜日,げつようび,Monday,getsu youbi  
入る,はいる,to enter,hairu  
カタカナ,かたかな,katakana,katakana  
今週,こんしゅう,this week,konnshuu  
開く,あく,to open (something),hiraku  
水,みず,water,mizu  
あれ,あれ,that (over there),are  
二,に,two,ni  
締める,しめる,to tighten,shimeru  
まずい,まずい,bad tasting,mazui  
平仮名,ひらがな,hiragana,hiragana  
曇る,くもる,to become cloudy,kumoru  
触る,さわる,to touch,sawaru  
駄目,だめ,no good; not allowed,dame  
飲み物,のみもの,drink,nomimono  
木曜日,もくようび,Thursday,mokuyoubi  
曜日,ようび,day of the week,youbi  
そば,そば,near, soba  
こっち,こっち,this way (informal),kocchi  
火曜日,かようび,Tuesday,ka youbi  
渇く,かわく,to get thirsty,kawaku  
三,さん,three, san  
水曜日,すいようび,Wednesday,sui youbi  
二つ,ふたつ,two things, futatsu  
今晩,こんばん,tonight,konban  
千,せん,thousand,senn  
六日,むいか,sixth day of the month,mika  
お姉さん,おねえさん,older sister,oneesan  
直る,なおる,to be fixed,naoru  
ちょっと,ちょっと,a little, chotto  
四,し,four,shi  
これから,これから,from now on,korekara  
考える,かんがえる,to think,kangaeru  
戻る,もどる,to return,modoru  
変える,かえる,to change,kaeru  
朝,あさ,morning,asa  
歯,は,tooth,ha  
頑張る,がんばる,to do one's best,gambaru  
携帯電話,けいたいでんわ,cell phone,keitai denwa  
雨,あめ,rain,ame  
金,きん,gold,kin  
易しい,やさしい,easy,yasashii  
お兄さん,おにいさん,older brother,oniisan  
大きい,おおきい,big,ookii  
小さい,ちいさい,small,chiisai  
辛い,からい,spicy,karai  
八,はち,eight,hachi  
あそこ,あそこ,over there,asoko  
来る,くる,to come,kuru  
前,まえ,in front,mae  
五日,いつか,fifth day of the month,itsuka  
いっぱい,いっぱい,full; a lot,ippai  
酸っぱい,すっぱい,sour,suppai  
違う,ちがう,to differ,chigau  
細い,ほそい,thin,hosoi  
三つ,みっつ,three things,mitsu  
八日,ようか,eighth day of the month,youka  
高校生,こうこうせい,high school student,koukousei  
上手,じょうず,good at,jouzu  
強い,つよい,strong,tsuyoi  
七,なな,seven,nana  
二十日,はつか,twentieth day of the month, hatsuka  
左,ひだり,left,hidari  
二日,ふつか,second day of the month,futsuka  
四つ,よっつ,four things,yottsu  
暖かい,あたたかい,warm,atatakai  
ある,ある,to exist (for inanimate objects),aru  
いい,いい,good,ii  
上,うえ,up,ue  
駅,えき,station,eki  
美味しい,おいしい,delicious,oishii  
昨日,きのう,yesterday,kinou  
綺麗,きれい,beautiful,kirei  
五,ご,five,go  
九つ,ここのつ,nine things,kokonotsu  
お願い,おねがい,please,onegai  
答える,こたえる,to answer,kotaeru  
先,さき,previous, saki  
寒い,さむい,cold,samui  
四,よん,four,yon
三日,みっか,third day of the month,mikka  
下,した,down,shita  
大丈夫,だいじょうぶ,okay,daijoubu  
大人,おとな,adult,otona  
出す,だす,to take out, dasu  
父,ちち,father, chichi  
母,はは,mother, haha  
月,つき,month,tsuki  
妹,いもうと,younger sister,imouto  
冷たい,つめたい,cold (to the touch),tsumetai  
弟,おとうと,younger brother,otouto  
手,て,hand,te  
十日,とおか,tenth day of the month,touka  
口,くち,mouth,kuchi  
夏,なつ,summer,natsu  
七つ,ななつ,seven things,nanatsu  
時々,ときどき,sometimes,tokidoki  
何,なに,what,nani  
人,ひと,person,hito  
一人,ひとり,one person,hitori  
一日,いちにち,one day,ichinichi  
九日,ここのか,ninth day of the month,kokonoka  
方,ほう,way; direction,hou  
他,ほか,other,hoka  
僕,ぼく,I (used by males),boku  
欲しい,ほしい,desirable,hoshii  
万,まん,ten thousand,man  
見える,みえる,to be visible,mieru  
道,みち,road,michi  
五つ,いつつ,five things,itsutsu  
目,め,eye,me  
八つ,やっつ,eight things,yattsu  
止める,とめる,to stop,tomeru  
四日,よっか,fourth day of the month,yokka  
夜,よる,night (from sunset to sunrise),yoru  
来年,らいねん,next year,rainen  
六,ろく,six,roku  
悪い,わるい,bad,warui  
お手洗い,おてあらい,restroom,otearai  
ご主人,ごしゅじん,husband (respectful),goshujin  
本当に,ほんとうに,really,hontou ni  
自分,じぶん,self,jibun  
ため,ため,purpose,tame  
見つかる,みつかる,to be found,mitsukaru  
休む,やすむ,to rest,yasumu  
ゆっくり,ゆっくり,slowly,yukkuri  
六つ,むっつ,six things,mutsu  
花,はな,flower,hana  
動く,うごく,to move,ugoku  
線,せん,line,sen  
七日,なのか,seventh day of the month,nanoka  
以外,いがい,except for,igai  
男,おとこ,man,otoko  
彼,かれ,he,karē  
女,おんな,woman,onna  
妻,つま,wife,tsuma  
百,ひゃく,one hundred,hyaku  
辺,あたり,area,atari  
店,みせ,store,mise  
閉まる,しまる,to close,shimaru  
問題,もんだい,problem,mondai  
必要,ひつよう,necessary,hitsuyou  
もつ,もつ,to hold,motsu  
開く,あく,to open,aku  
昨年,さくねん,last year,sakunen  
治る,なおる,to heal,naoru  
ドル,どる,dollar,doru  
システム,しすてむ,system,shisutemu  
以上,いじょう,more than,ijou  
最近,さいきん,recently,saikin  
世界,せかい,world,sekai  
コンピューター,こんぴゅーたー,computer,konpyu-ta-  
やる,やる,to do,yaru  
意味,いみ,meaning,imi  
増える,ふえる,to increase,fueru  
選ぶ,えらぶ,to choose,erabu  
生活,せいかつ,lifestyle,seikatsu  
進める,すすめる,to advance,susumeru  
続ける,つづける,to continue,tsudzukeru  
ほとんど,ほとんど,almost,hotondo  
会社,かいしゃ,company,kaisha  
家,いえ,house,ie  
多く,おおく,many,ooku  
話,はなし,talk,hanashi  
上がる,あがる,to rise,agaru  
もう,もう,already,mou  
集める,あつめる,to collect,atsumeru  
声,こえ,voice,koe  
初めて,はじめて,for the first time,hajimete  
変わる,かわる,to change,kawaru  
まず,まず,first,mazu  
社会,しゃかい,society,shakai  
プログラム,ぷろぐらむ,program,puroguramu  
力,ちから,power,chikara  
今回,こんかい,this time,konkai  
予定,よてい,plans,yotei  
まま,まま,as is,mama  
テレビ,てれび,television,terebi  
減る,へる,to decrease,heru  
消える,きえる,to disappear, Kieru  
家族,かぞく,family, kazoku  
比べる,くらべる,to compare, kuraberu  
生まれる,うまれる,to be born,umareru  
ただ,ただ,only,tada  
これら,これら,these,korera  
調べる,しらべる,to investigate,shiraberu  
事故,じこ,accident,jiko  
電話,でんわ,telephone,denwa  
外国,がいこく,foreign country,gaikoku  
銀行,ぎんこう,bank,ginkou
十分,じゅうぶん,enough,jūbun  
あまり,あまり,not much,amari  
写真,しゃしん,photograph,shashin  
繰り返す,くりかえす,to repeat,kurikaesu  
種類,しゅるい,type,shurui  
意見,いけん,opinion,iken  
新聞,しんぶん,newspaper,shinbun  
文章,ぶんしょう,article,bunshou  
目立つ,めだつ,to stand out,medatsu  
相手,あいて,partner,aite  
病院,びょういん,hospital,byouin  
厚い,あつい,thick,atsui  
忙しい,いそがしい,busy,isogashii  
薄い,うすい,thin,usui  
川,かわ,river,kawa  
暗い,くらい,dark,kurai  
クラス,くらす,class,kurasu  
黒い,くろい,black,kurōi  
バス,ばす,bus,basu  
青い,あおい,blue,aoi  
買い物,かいもの,shopping,kaimono  
薬,くすり,medicine,kusuri  
砂糖,さとう,sugar,satou  
休み,やすみ,holiday,yasumi  
郵便局,ゆうびんきょく,post office,yuubinkyoku  
住所,じゅうしょ,address,jūsho  
こちら,こちら,this side,kochira  
財布,さいふ,wallet,saifu  
パスポート,ぱすぽーと,passport,pasupo-to  
椅子,いす,chair,isu  
可愛い,かわいい,cute,kawaii  
お祖父さん,おじいさん,grandfather,ojiisan  
切手,きって,stamp,kitte  
涼しい,すずしい,cool,suzushii  
いくつ,いくつ,how many,ikutsu  
メニュー,めにゅー,menu,menyu  
電気,でんき,electricity,denki  
勝つ,かつ,to win,katsu  
負ける,まける,to lose,makeru  
建てる,たてる,to build,tateru  
日記,にっき,diary,nikki  
売り切れ,うりきれ,sold out,urikire  
お巡りさん,おまわりさん,police officer,omawarisan  
目覚まし時計,めざましどけい,alarm clock,mezamashidokei  
レシート,れしーと,receipt,reshi-to  
ティッシュ,てぃっしゅ,tissue,tisshu  
歯ブラシ,はぶらし,toothbrush,haburashi  
下りる,おりる,to go down,oriru  
洗う,あらう,to wash,arau  
パート,ぱーと,part-time job,pa-to
氏名,しめい,name,shimei  
今夜,こんや,tonight,konya  
夜中,よなか,midnight,yonaka  
来週,らいしゅう,next week,raishuu  
誰か,だれか,someone,dareka  
何,なん,what,nan 
今朝,けさ,this morning,kesa  
寿司,すし,sushi,sushi  
履く,はく,to wear (shoes; pants),haku  
おじさん,おじさん,uncle,ojisan  
おばさん,おばさん,aunt,obasan  
お祖母さん,おばあさん,grandmother,obaasan  
いとこ,いとこ,cousin,itoko  
辞書,じしょ,dictionary,jisho  
朝ご飯,あさごはん,breakfast,asagohan  
白,しろ,white,shiro  
どっち,どっち,which one,docchi  
そっち,そっち,that way,sotchi  
明日,あした,tomorrow,ashita  
明後日,あさって,the day after tomorrow,asatte  
一昨日,おととい,the day before yesterday,ototoi  
庭,にわ,garden,niwa  
左側,ひだりがわ,left side,hidari-gawa  
右側,みぎがわ,right side,migi-gawa  
指,ゆび,finger,yubi  
眼鏡,めがね,glasses,megane  
鞄,かばん,bag,kaban  
あっち,あっち,over there,atchi  
大人しい,おとなしい,quiet,otonashii  
下手,へた,clumsy,heta  
厳しい,きびしい,strict,kibishii  
一人で,ひとりで,alone,hitori de  
答え,こたえ,answer,kotae  
この頃,このごろ,recently,kono goro  
残念,ざんねん,regretful,zannen  
仕舞う,しまう,to put away,shimau  
心配,しんぱい,worry,shinpai  
外,そと,outside,soto  
大切,たいせつ,important,taisetsu  
ちょうど,ちょうど,just,choudo  
助ける,たすける,to help,tasukeru  
勤める,つとめる,to work (for),tsutomeru  
連れていく,つれていく,to take (someone) with,tsureteiku  
丈夫,じょうぶ,strong,juubou  
賑やか,にぎやか,lively,nigiyaka  
眠い,ねむい,sleepy,nemui  
山,やま,mountain,yama  
橋,はし,bridge,hashi  
止まる,とまる,to stop,tomaru  
降る,ふる,to fall (rain; snow),furu  
本当,ほんとう,true,hontou  
町,まち,town,machi  
お菓子,おかし,sweets,okashi  
緩い,ゆるい,loose,yurui  
良い,いい,good,ii  
ようこそ,ようこそ,welcome,youkoso  
お土産,おみやげ,souvenir,omiyage  
両親,りょうしん,parents,ryoushin  
ウェーター,うぇーたー,waiter,weetaa  
ウェートレス,うぇーとれす,waitress,weetoresu  
絶対に,ぜったいに,absolutely,zettai ni  
ごちそう,ごちそう,feast,gochisou  
フォーク,ふぉーく,fork,foo-ku  
スプーン,すぷーん,spoon,supuun  
瓶,びん,bottle,bin  
つく,つく,to make,tsuku  
醤油,しょうゆ,soy sauce,shouyu  
茶碗,ちゃわん,rice bowl,chawan  
決める,きめる,to decide,kimeru  
感じる,かんじる,to feel,kanjiru  
生きる,いきる,to live,ikiru  
動かす,うごかす,to move,ugokasu  
壊れる,こわれる,to break,kowareru  
復習,ふくしゅう,review,fukushuu  
眉,まゆ,eyebrow,mayu  
客,きゃく,guest,kyaku  
机,つくえ,desk,tsukue  
風呂,ふろ,bath,furo  
湯,ゆ,hot water,yu  
ぬるい,ぬるい,warm, nurui  
風邪薬,かぜぐすり,cold medicine,kazegusuri  
靴下,くつした,socks,kutsushita  
タバコ,たばこ,tobacco,tobako  
アイスコーヒー,あいすこーひー,iced coffee,aisukoohii  
天ぷら,てんぷら,tempura,tenpura  
肉,にく,meat,niku  
昨夜,ゆうべ,last night,yuube  
流行る,はやる,to be popular,hayaru  
連れて来る,つれてくる,to bring (someone),tsuretekuru  
方,ほう,way,hou  
零,れい,zero,rei  
雲,くも,cloud,kumo  
空,そら,sky,sora  
人気,にんき,popularity,ninki  
兄さん,にいさん,older brother,niisan  
姉さん,ねえさん,older sister,neesan  
平成,へいせい,Heisei era,Heisei  
毎月,まいつき,every month,maitsuki  
半日,はんにち,half a day,han nichi  
半月,はんつき,half a month,han tsuki  
なるほど,なるほど,I see,naruhodo  
つまり,つまり,that is to say,tsumari  
そのまま,そのまま,as is,sonomama  
はっきり,はっきり,clearly,hakkiri  
大変,たいへん,difficult,taihen  
簡単,かんたん,easy,kantan  
似ている,にている,similar,niteiru  
驚く,おどろく,to be surprised,odoroku  
嫌,いや,dislike,iya  
喧嘩,けんか,fight,kenka  
遅れる,おくれる,to be late,okureru  
にんじん,にんじん,carrot,ninjin  
ジャガイモ,じゃがいも,potato,jagaimo  
ナス,なす,eggplant,nasu  
やかん,やかん,kettle,yakan  
話し合う,はなしあう,to discuss,hanashiau  
残す,のこす,to leave behind,nokosu  
ごちそうする,ごちそうする,to treat (someone to a meal),gochisousuru  
合う,あう,to match,au  
当たる,あたる,to hit,ataru  
集まる,あつまる,to gather,atsumaru  
場所,ばしょ,place,basho  
海,うみ,ocean,umi  
少年,しょうねん,boy,shounen  
孫,まご,grandchild,mago  
生徒,せいと,student,seito  
高校,こうこう,high school,koukou  
年上,としうえ,older,toshiue  
卒業,そつぎょう,graduation,sotsugyou  
運動,うんどう,exercise,undou  
選手,せんしゅ,athlete,senshu  
映画,えいが,film,eiga  
英語,えいご,English,ego  
手紙,てがみ,letter,tegami  
動物,どうぶつ,animal,doubutsu  
音,おと,sound,oto  
海外,かいがい,overseas,kaigai  
外国人,がいこくじん,foreigner,gaikokujin  
帰国,きこく,return to one's country,kikoku  
彼ら,かれら,they,karera  
機械,きかい,machine,kikai  
基本,きほん,basic,kihon  
今度,こんど,next,kondo  
最後,さいご,last,saigo  
最初,さいしょ,first,saisho  
準備,じゅんび,preparation,junbi  
進む,すすむ,to advance,susumu  
直接,ちょくせつ,directly,chokusetsu  
特に,とくに,especially,tokuni  
届く,とどく,to reach,todoku  
なぜ,なぜ,why,naze  
並ぶ,ならぶ,to line up,narabu  
運ぶ,はこぶ,to carry,hakobu  
直す,なおす,to fix,naosu  
反対,はんたい,opposite,hantai  
場合,ばあい,situation,baai  
詳しい,くわしい,detailed,kuwashii  
いたずら,いたずら,mischief,itanazura  
お祝い,おいわい,celebration,oiwai  
くし,くし,comb,kushi  
こぼれる,こぼれる,to spill,koboreru  
伝える,つたえる,to convey,tsutaeru  
膝,ひざ,knee,hiza  
肘,ひじ,elbow,hiji  
枕,まくら,pillow,makura  
建物,たてもの,building,tatemono  
道路,どうろ,road,douro  
四つ角,よっつかど,intersection,yottsukado  
曲がり角,まがりかど,corner,magarikado  
警察,けいさつ,police,keisatsu  
空気,くうき,air,kuuki  
スポーツ,すぽーつ,sports,supootsu  
チャンス,ちゃんす,chance,chansu  
クリーニング,くりーにんぐ,cleaning,kuriningu  
サービス,さーびす,service,saabisu  
グループ,ぐるーぷ,group,guurupu  
自宅,じたく,home,jitaku  
家庭,かてい,family;home,kattei  
期間,きかん,period,kikan  
年度,ねんど,fiscal year,nendo  
経験,けいけん,experience,keiken  
安全,あんぜん,safety,anzen  
危険,きけん,danger,kiken  
注意,ちゅうい,attention,chuui  
成功,せいこう,success,seikou  
努力,どりょく,effort,doryoku  
説明,せつめい,explanation,setsumai  
地震,じしん,earthquake,jishin  
手術,しゅじゅつ,surgery,shujutsu  
火傷,やけど,burn,yakedo  
課題,かだい,task,kadai  
子,こ,child,ko  
確認,かくにん,confirmation,kakunin  
実際,じっさい,reality,jissai  
国際,こくさい,international,kokusai  
会議,かいぎ,meeting,kaigi  
提案,ていあん,suggestion,teian  
事務所,じむしょ,office,jimusho  
教授,きょうじゅ,professor,kyouju  
世紀,せいき,century,seiki
あちこち,あちこち,here and there,achikochi  
そちら,そちら,that way (polite),sochira  
あちら,あちら,over there (polite),achira  
もし,もし,if,moshi  
うるさい,うるさい,loud,urusai  
固い,かたい,hard,katakai  
深い,ふかい,deep,fukai  
面白い,おもしろい,interesting,omoshiroi  
全く,まったく,completely,mattaku  
半分,はんぶん,half,hanbun  
普通,ふつう,normal,futsuu  
分,ぶん,part,fun  
文化,ぶんか,culture,bunka  
毎日,まいにち,every day,mainichi  
気を付ける,きをつける,to be careful,ki wo tsukeru  
守る,まもる,to protect,mamoru  
もちろん,もちろん,of course,mochiron  
やはり,やはり,as expected,yahari  
いくら,いくら,how much,ikura  
よろしく,よろしく,nice to meet you,yoroshiku  
どなた,どなた,who (polite),donata  
許す,ゆるす,to forgive,yurusu  
分ける,わける,to divide,wakeru  
自然,しぜん,nature,shizen  
アパート,あぱーと,apartment,apaato  
ホテル,ほてる,hotel,hoteru  
パソコン,ぱそこん,computer,pasokon  
うまい,うまい,delicious,umai  
明るい,あかるい,bright,akarui  
急ぐ,いそぐ,to hurry,isogu  
歌,うた,song,uta  
中学校,ちゅうがっこう,junior high school,chuugakkou  
テスト,てすと,test,tesuto  
ポスト,ぽすと,post,posto  
ハンカチ,はんかち,handkerchief, hankachi  
髪,かみ,hair,kami  
帽子,ぼうし,hat,boushi  
被る,かぶる,to wear (a hat),kaburu  
ブラウス,ぶらうす,blouse,burauzu  
週末,しゅうまつ,weekend,shuumatsu  
先週,せんしゅう,last week,senshuu  
再来週,さらいしゅう,week after next,saraishuu  
いつか,いつか,someday,itsuka  
宿題,しゅくだい,homework,shukudai  
鍵,かぎ,key,kagi  
傘,かさ,umbrella,kasa  
乗り換える,のりかえる,to transfer (transport),norikaeru  
向かう,むかう,to head towards,mukau  
本屋,ほんや,bookstore,honya  
お茶,おちゃ,tea,ocha
改札口,かいさつぐち,ticket gate,kaisatsuguchi  
晴れ,はれ,sunny,hare  
バス停,ばすてい,bus stop,basutei  
曇り,くもり,cloudy,kumori  
塩,しお,salt,shio  
たくさん,たくさん,a lot,takusan  
大嫌い,だいきらい,hate,daikirai  
中,なか,inside,naka  
二階,にかい,second floor,nikai  
無くす,なくす,to lose,nakusu  
まあまあ,まあまあ,so-so,maamaa  
黄色,きいろ,yellow,kiiro  
ランチ,らんち,lunch,ra-nchi  
魚,さかな,fish,sakana  
味,あじ,taste,aji  
りんご,りんご,apple,ringo  
みかん,みかん,tangerine,mikan  
皿,さら,plate,sara  
コーヒー,こーひー,coffee,koohii  
コップ,こっぷ,cup,koppu  
二人,ふたり,two people,futari  
止む,やむ,to stop (rain; snow),yamu  
九,きゅう,nine,kyuu  
