French,English,Example
"avec","with","Avec toi, tout devient possible."
"moi","me (tonic pronoun)","Pour moi, tu es l'incarnation de la perfection."
"devoir","must, to have to","Tu n'as pas à devoir quoi que ce soit, tu es libre."
"oui","yes","Oui, je viendrai à ta fête demain soir."
"ils","they","Ils partent en voyage à Paris la semaine prochaine."
"tout","all; everything","Tout ce que je souhaite, c'est ton bonheur."
"se","oneself (reflexive)","Il se lève toujours avant le soleil."
"venir","to come","Viens chez moi quand tu veux."
"sur","on; over","Le livre est posé sur la table."
"toi","you (stressed)","C'est pour toi, j'espère que ça te plaira."
"s'","(reflexive contraction)","Elle s'habille avec soin chaque matin."
"ici","here","Ici, la vue sur la mer est incroyable."
"rien","nothing","Rien ne peut m'empêcher de réaliser mes rêves."
"ma","my (fem.)","Ma sœur m'a donné un conseil précieux."
"comme","like; as","Il agit comme si rien ne s'était passé."
"lui","him; her (stressed)","Donne-lui ce message dès que possible."
"où","where","Où as-tu mis mes clés ?"
"si","if; yes (in questions)","Si tu as besoin d'aide, je suis là."
"là","there","Regarde là-bas, c'est notre maison."
"suivre","to follow","Suis-moi, je vais te montrer le chemin."
"parler","to speak","Parle plus fort, je ne t'entends pas."
"prendre","to take","Prends ce parapluie, il va pleuvoir."
"cette","this (fem.)","Cette robe te va à merveille."
"votre","your (formal/plural)","Votre soutien me touche profondément."
"quand","when","Quand partons-nous en vacances ?"
"alors","then; so","Alors, on y va ou pas ?"
"chose","thing","Chaque chose a sa place dans ce monde."
"par","by; through","Par amour, il a tout sacrifié."
"son","his; her (masc.)","Son sourire illumine mes journées."
"ton","your (informal)","Ton opinion compte beaucoup pour moi."
"croire","to believe","Je crois en toi et en tes capacités."
"aimer","to love; to like","J'aime passer du temps avec toi."
"falloir","to be necessary","Il faut que tu viennes à la réunion."
"très","very","Tu es très courageux d'oser parler ainsi."
"ou","or","Tu préfères le thé ou le café ?"
"quoi","what","De quoi parles-tu exactement ?"
"bon","good","C'est un bon jour pour commencer quelque chose de nouveau."
"passer","to spend; to pass","Nous avons passé une journée inoubliable."
"penser","to think","Je pense souvent à notre première rencontre."
"aussi","also","Moi aussi, j'aimerais y aller avec vous."
"jamais","never","Je ne t'abandonnerai jamais, quoi qu'il arrive."
"attendre","to wait","Attends-moi, je reviens dans cinq minutes."
"pourquoi","why","Pourquoi as-tu décidé de changer de carrière ?"
"trouver","to find","J'ai trouvé la clé que tu cherchais."
"laisser","to let; to leave","Laisse-moi t'aider avec ces sacs."
"sa","his; her (fem.)","Sa gentillesse est sans limite."
"ta","your (informal fem.)","Ta passion pour la musique est inspirante."
"arriver","to arrive; to happen","Qu'est-ce qui vient d'arriver ici ?"
"ces","these","Ces fleurs sont magnifiques, merci."
"donner","to give","Donne-moi cinq minutes pour me préparer."
"regarder","to look; to watch","Regarde le ciel étoilé ce soir."
"encore","again; still","Je t'aime encore plus qu'hier."
"appeler","to call","Je vais l'appeler pour confirmer le rendez-vous."
"est-ce que","(question marker)","Est-ce que tu viens ce soir ?"
"homme","man","Cet homme a sauvé un chat de l'arbre."
"partir","to leave","Je dois partir avant la fin du film."
"petit","small; little","Ce petit café est mon endroit préféré."
"mes","my (pl.)","Mes amis m'ont surpris avec un gâteau."
"toujours","always","Je t'aimerai toujours, quoi qu'il arrive."
"jour","day","Chaque jour est une nouvelle opportunité."
"femme","woman; wife","La femme au chapeau rouge est ma mère."
"temps","time; weather","Le temps passe si vite quand on est heureux."
"maintenant","now","Maintenant, c'est à toi de jouer."
"notre","our","Notre amitié est inestimable."
"vie","life","La vie est belle quand on la partage."
"deux","two","J'ai acheté deux billets pour le concert."
"mettre","to put; to place","Mets ton manteau avant de sortir."
"rester","to stay; to remain","Reste ici jusqu'à ce que je revienne."
"sans","without","Je ne peux pas vivre sans musique."
"arrêter","to stop; to quit","Arrête de parler, je t'écoute."
"vraiment","really","Tu es vraiment doué pour le piano."
"connaître","to know (someone/place)","Je connais bien cette ville."
"sûr","sure; safe","Sois sûr de toi avant de prendre ta décision."
"merci","thank you","Merci pour ce merveilleux cadeau."
"tuer","to kill","Il faut tuer ces idées négatives."
"comment","how","Comment as-tu appris le français si vite ?"
"mourir","to die","Mourir pour ses convictions est un choix difficile."
"demander","to ask; to request","Demande-lui s'il peut nous aider."
"même","same; even","C'est la même histoire chaque fois."
"peut-être","maybe; perhaps","Peut-être qu'il viendra demain."
"dieu","God","Que Dieu te protège toujours."
"fois","time; occurrence","La première fois que je l'ai vue, j'étais ému."
"oh","oh; wow","Oh, je ne m'attendais pas à ça !"
"père","father","Mon père m'a appris à conduire."
"peu","little; few","J'ai un peu de temps libre cet après-midi."
"comprendre","to understand","Je ne comprends pas cette question."
"seul","alone; only","Je me sens seul dans cette grande ville."
"quelque","some; a few","J'ai besoin de quelque argent pour le taxi."
"sortir","to go out; to exit","Sortons dîner ce soir en ville."
"an","year","Il a voyagé pendant un an autour du monde."
"trop","too; too much","Il fait trop chaud pour travailler dehors."
"chez","at (someone's place)","Je suis chez moi, entre quand tu veux."
"fille","girl; daughter","Ma fille joue du violon depuis deux ans."
"aux","to the; at the (pl.)","Nous allons aux montagnes ce week-end."
"monde","world","Le monde est plein de belles surprises."
"vrai","true; real","C'est le vrai sens de l'amitié."
"autre","other; another","Donne-moi un autre exemple, s'il te plaît."
"besoin","need","J'ai besoin de ton aide pour ce projet."
"accord","agreement; accord","Nous sommes tombés d'accord sur les termes."
"ses","his; her (pl.)","Ses conseils m'ont beaucoup aidé."
"ami","friend","Mon ami d'enfance vit à l'étranger."
"monsieur","Mr.; sir","Bonjour monsieur, comment allez-vous ?"
"enfant","child","Chaque enfant mérite une éducation de qualité."
"entendre","to hear","Je n'arrive pas à t'entendre, parle plus fort, s'il te plaît."
"voilà","here is; there you go","Voilà la clé que tu cherchais depuis ce matin."
"chercher","to look for","Je vais chercher un cadeau pour ton anniversaire."
"heure","hour; time","Il est temps de partir, l'heure tourne."
"tes","your (pl.)","Tes idées sont toujours inspirantes."
"aider","to help","Je suis là pour t'aider à chaque étape."
"mère","mother","Ma mère m'a appris à suivre mon cœur."
"déjà","already","Tu as déjà accompli plus que tu ne le crois."
"beau","beautiful; handsome","Quel beau coucher de soleil ce soir !"
"essayer","to try","Essaye encore, tu es plus proche que tu ne le penses."
"quel","which; what","Quel est ton rêve le plus fou ?"
"juste","just; fair","C'est juste incroyable de te voir réussir."
"mieux","better","Tu te sens mieux aujourd'hui ?"
"vos","your (formal/pl.)","Vos conseils m'ont guidé vers la réussite."
"grand","big; great","Un grand projet commence toujours par un petit pas."
"quelqu'un","someone","Quelqu'un croit en toi, même quand tu doutes."
"beaucoup","a lot; many","Je t'aime beaucoup plus que les mots ne peuvent le dire."
"revenir","to return","Reviens quand tu veux, tu seras toujours le bienvenu."
"donc","so; therefore","Tu as travaillé dur, donc tu mérites ce succès."
"plaire","to please; to like","J'espère que ce cadeau te plaira."
"maison","house; home","La maison de tes rêves t'attend quelque part."
"gens","people","Les gens formidables rendent la vie plus belle."
"après","after; afterwards","Après chaque tempête vient un ciel plus clair."
"nuit","night","La nuit porte conseil, prends le temps de réfléchir."
"personne","person; nobody","Personne ne peut t'arrêter si tu y crois."
"ah","ah; oh","Ah, je ne m'attendais pas à cette surprise !"
"soir","evening","Ce soir, je t'emmène dîner sous les étoiles."
"nom","name","Ton nom restera gravé dans mon cœur."
"bonjour","hello; good morning","Bonjour, j'espère que ta journée sera merveilleuse."
"jouer","to play","Joue sans peur et amuse-toi pleinement."
"finir","to finish; to end","Nous devons finir ce projet ensemble."
"peur","fear","Affronte ta peur et découvre ta force intérieure."
"parce que","because","Je le fais parce que je crois en toi."
"perdre","to lose","Tu ne peux pas perdre si tu persévères."
"maman","mom","Maman, merci pour tout ton amour et ton soutien."
"sentir","to feel; to smell","Je sens la victoire à l'horizon."
"ouais","yeah","Ouais, c'est exactement ce que je voulais dire !"
"rentrer","to go home; to return","Rentre chez toi, tu as bien mérité du repos."
"avant","before","Avant de juger, essaie de comprendre."
"nos","our (pl.)","Nos rêves sont la force de notre avenir."
"problème","problem","Chaque problème cache une opportunité de grandir."
"argent","money","L'argent n'achète pas le bonheur, mais il aide parfois."
"quelle","which; what (fem.)","Quelle aventure extraordinaire nous attend !"
"vivre","to live","Vis chaque jour comme si c'était le dernier."
"rendre","to give back; to render","Rends au monde ce qu'il t'a donné."
"tenir","to hold; to keep","Tiens bon, la victoire est proche."
"cet","this (masc. before vowel)","Cet instant est gravé à jamais dans ma mémoire."
"main","hand","Donne-moi la main, et je te guiderai."
"cela","that; it","Cela change tout ce que je pensais savoir."
"vite","quickly; fast","Agis vite, car chaque seconde compte."
"oublier","to forget","N'oublie jamais d'où tu viens."
"air","air; appearance","Ton air confiant illumine la pièce."
"depuis","since","Je t'aime depuis le premier jour."
"fils","son; thread","Il est le fils dont je suis le plus fier."
"travailler","to work","Travaillons ensemble pour changer le monde."
"moins","less","Moins de peur, plus de courage."
"tête","head","Garde la tête haute, même dans la tempête."
"coup","blow; shot","Un seul coup de génie peut tout transformer."
"écouter","to listen","Écoute ton cœur, il connaît la vérité."
"raison","reason","Ta raison d'être est plus forte que tes doutes."
"manger","to eat","Mange sainement pour vivre pleinement."
"mort","death","Vivre sans peur de la mort est une victoire."
"amour","love","L'amour véritable ne connaît pas de frontières."
"mal","bad; pain","Le mal devient moindre quand on le partage."
"entrer","to enter","Entre dans ta vie avec confiance."
"devenir","to become","Deviens la personne que tu admires."
"hein","huh; tag","Tu es prêt à tout donner, hein ?"
"commencer","to start","Commence maintenant, le futur t'attend."
"moment","moment","Ce moment précis changera ta vie."
"dernier","last","Ce dernier effort te mènera à la victoire."
"voiture","car","Cette voiture te mènera vers de nouveaux horizons."
"demain","tomorrow","Demain commence aujourd'hui."
"elles","they (f.)","Elles défient les limites et inspirent le monde."
"payer","to pay","Tu devras payer le prix de tes choix."
"tirer","to pull; to shoot","Tire le meilleur de chaque situation."
"ouvrir","to open","Ouvre ton esprit aux possibles infinis."
"oeil","eye","Lève les yeux, l'univers t'appelle."
"fait","fact; made","Le fait d'oser change tout."
"changer","to change","Change ta vision, change ta vie."
"question","question","Pose-toi la question qui transforme ton destin."
"tomber","to fall","Tomber n'est pas un échec, rester à terre l'est."
"assez","enough","Tu as déjà assez de force pour réussir."
"foutre","to do; to fuck (slang)","Fous-toi des doutes et avance."
"excuser","to excuse","Excuse tes erreurs et avance plus fort."
"affaire","business; affair","C'est ton affaire, assume tes choix."
"dormir","to sleep","Dormir paisiblement est un acte de courage."
"combien","how much; how many","Combien de fois vas-tu te relever ?"
"frère","brother","Mon frère est mon plus grand allié."
"travail","work; job","Le travail acharné forge le succès."
"idée","idea","Une seule idée peut révolutionner le monde."
"eh","hey","Eh, tu es prêt pour l'aventure ?"
"famille","family","La famille est le cœur de chaque victoire."
"truc","thing; trick","Ce truc simple peut tout changer."
"trois","three","Trois mots : je crois en toi."
"tant","so much","Je t'aime tant que les mots manquent."
"ni","neither; nor","Ni peur ni regret ne m'arrêteront."
"premier","first","Sois le premier à franchir la ligne d'arrivée."
"tous","all; everyone","Tous ensemble, nous sommes invincibles."
"occuper","to occupy","Occupe-toi de ton bonheur avant tout."
"entre","between; among","Entre ciel et terre, trouve ta voie."
"marcher","to walk","Marcher dans la nature m'aide à clarifier mes idées."
"chance","luck; chance","Il a eu la chance de rencontrer son idole par hasard."
"aujourd'hui","today","Aujourd'hui, je choisis de vivre pleinement chaque instant."
"envoyer","to send","Je vais t'envoyer le document dès que j'ai terminé."
"histoire","story; history","Son histoire m'inspire à poursuivre mes rêves."
"tard","late","Il est déjà trop tard pour revenir en arrière."
"apprendre","to learn","Apprendre une nouvelle langue ouvre des portes insoupçonnées."
"minute","minute","Attends une minute, j'arrive tout de suite."
"boire","to drink","Boire un café ensemble renforce notre amitié."
"garder","to keep; to hold","Garde toujours espoir, même dans les moments difficiles."
"quelques","some; a few","Quelques mots peuvent changer le cours d'une vie."
"type","type; kind","C'est le type de défi qui révèle notre véritable force."
"porte","door; to carry","Ouvre cette porte et découvre un monde de possibilités."
"montrer","to show","Laisse-moi te montrer comment réaliser ce projet."
"mec","guy; dude","Ce mec a le courage de transformer ses rêves en réalité."
"asseoir","to sit","Assieds-toi et raconte-moi tout ce qui s'est passé."
"fou","crazy; mad","Parfois, il faut être un peu fou pour accomplir de grandes choses."
"porter","to wear; to carry","Porter secours à ceux qui souffrent est un acte de générosité."
"année","year","Cette année, je décide de suivre mon cœur."
"sous","under","Sous le silence de la nuit, je trouve ma paix intérieure."
"souvenir","memory; souvenir","Garde ce souvenir comme un trésor précieux."
"prêt","ready","Es-tu prêt à relever ce nouveau défi ?"
"contre","against; versus","Se battre contre ses peurs est le premier pas vers la liberté."
"prier","to pray","Prier chaque matin m'apporte sérénité et force."
"pendant","during; while","Pendant ce voyage, j'ai découvert qui je suis vraiment."
"mois","month","En un mois, tu peux transformer ta vie si tu le veux."
"servir","to serve","Servir les autres donne un sens profond à notre existence."
"madame","madam; Mrs.","Madame, votre sourire illumine cette pièce."
"putain","damn; fuck (slang)","Putain, c'est incroyable tout ce que tu as accompli !"
"écrire","to write","Écrire chaque jour clarifie mes pensées et mes émotions."
"part","part; portion","Chaque part de gâteau rappelle un souvenir d'enfance."
"eau","water","L'eau calme de l'océan apaise mon esprit."
"sang","blood","Son courage coule dans ses veines comme du sang de lion."
"place","place; seat","Trouve ta place dans ce monde et fais-la rayonner."
"espérer","to hope","Espérer le meilleur est le premier pas vers le succès."
"désoler","to apologize","Je suis désolé de t'avoir blessé, pardonne-moi."
"jeune","young","Être jeune, c'est oser croire que tout est possible."
"eux","them","C'est pour eux que je me bats chaque jour."
"retrouver","to find again; to meet","Retrouve-toi dans le silence de tes pensées."
"ville","city","La ville s'éveille et pulse au rythme de nos rêves."
"terre","earth; land","La terre nous nourrit, prenons-en soin avec amour."
"gagner","to win; to earn","Gagner ne se mesure pas toujours en argent."
"semaine","week","Cette semaine, je vais changer mes habitudes."
"acheter","to buy","J'ai décidé d'acheter un billet pour un nouveau départ."
"longtemps","for a long time","Longtemps, j'ai cru que mes rêves étaient hors de portée."
"gars","guy; bloke","Ce gars a le talent et la détermination pour réussir."
"chambre","room; bedroom","Sa chambre est un sanctuaire de créativité."
"hé","hey","Hé, tu ne m'as pas dit la vérité !"
"côté","side","De ton côté, as-tu trouvé la paix intérieure ?"
"leur","their; theirs","Leur sourire est la plus belle récompense."
"vieux","old","Ce vieux chêne raconte des siècles d'histoire."
"rappeler","to remind","Rappelle-moi de t'appeler dès que tu arrives."
"lire","to read","J'adore lire au bord de la mer au petit matin."
"cas","case","Dans ce cas, je te fais entièrement confiance."
"mot","word","Un mot bien placé peut changer le cours d'une vie."
"seulement","only","Je t'aiderai, seulement si tu me promets d'essayer."
"voici","here is; there is","Voici le message que tu attendais depuis longtemps."
"salut","hi; hello","Salut, comment s'est passée ta journée ?"
"monter","to go up; to climb","Monte sur scène et montre au monde ton talent."
"désolé","sorry","Désolé de t'avoir réveillé si tard, pardonne-moi."
"quitter","to leave; to quit","Quitte tes doutes et avance vers tes rêves."
"police","police","La police veille sur notre sécurité chaque jour."
"suite","next; following","À la suite de cet événement, tout a changé pour moi."
"matin","morning","Chaque matin, je me réveille avec gratitude."
"emmener","to take (someone)","Emmène-moi avec toi, je ne veux pas rester seul."
"toucher","to touch; to feel","Toucher le ciel du doigt, c'est possible si tu oses."
"continuer","to continue","Continue de croire en toi et rien ne pourra t'arrêter."
"gros","big; large","Un gros effort aujourd'hui garantit une grande victoire demain."
"enfin","finally; at last","Enfin, nous sommes arrivés au sommet après des heures de marche."
"mari","husband","Son mari la soutient dans toutes ses décisions."
"là-bas","over there","Regarde là‑bas, c'est la destination de nos rêves."
"revoir","to see again; to meet again","Revoir ton sourire illumine mes journées."
"importer","to matter; to be important","Peu importe les obstacles, tu es capable de réussir."
"papa","dad; father","Papa, merci pour tout l'amour et le soutien que tu m'offres."
"puis","then; next","Finis tes devoirs, puis nous irons nous promener."
"train","train","Prends le train de 7 h pour ne pas manquer ton rendez‑vous."
"manquer","to miss","Tu vas me manquer chaque seconde loin de toi."
"raconter","to tell; to narrate","Raconte-moi ton plus beau souvenir d'enfance."
"ensemble","together","Ensemble, nous pouvons déplacer des montagnes."
"mauvais","bad; wrong","Un mauvais choix n'est qu'une leçon déguisée."
"film","movie; film","Ce film m'a profondément ému et inspiré."
"répondre","to answer; to reply","Réponds à ton appel intérieur sans hésiter."
"garçon","boy; lad","Le garçon courageux a sauvé un chat coincé dans un arbre."
"corps","body","Prends soin de ton corps, c'est ton seul vrai refuge."
"celui","the one; that one","Celui qui persévère finit toujours par triompher."
"autres","others","Aide les autres et tu trouveras ta propre lumière."
"heureux","happy; fortunate","Tu es vraiment heureux quand tu vis en accord avec toi-même."
"loin","far; away","Loin des yeux, près du cœur, notre lien reste intact."
"sauver","to save; to rescue","Sauver une vie est le plus grand des honneurs."
"chaque","each; every","Chaque jour est une page blanche à remplir de merveilles."
"retourner","to return; to go back","Retourne toujours à tes valeurs pour ne jamais te perdre."
"leurs","their; theirs","Leurs rêves méritent d'être entendus et respectés."
"rencontrer","to meet; to encounter","Rencontrer l'inconnu forge notre caractère."
"coeur","heart","Suis ton cœur, il connaît le chemin vers le bonheur."
"voler","to fly; to steal","Laisse ton esprit voler librement vers de nouveaux horizons."
"fermer","to close; to shut","Ferme les yeux et imagine la vie dont tu rêves."
"car","because; for","Reste authentique, car c'est ta plus grande force."
"valoir","to be worth; to deserve","Tu vaux bien plus que ce que tu crois."
"descendre","to go down; to descend","Descends dans ta force intérieure pour mieux t'élever."
"ok","ok; all right","Ok, nous sommes prêts pour cette nouvelle aventure."  
"feu","fire","Le feu intérieur qui brûle en toi ne s’éteint jamais."
"docteur","doctor","Le docteur a sauvé des vies avec son dévouement."
"suffire","to suffice; to be enough","Un seul sourire peut suffire à changer une journée."
"façon","way; manner","Trouve ta propre façon de briller dans ce monde."
"nouveau","new","Chaque nouveau matin est une page blanche à écrire."
"important","important","Ce moment est si important qu’il restera gravé en toi."
"sembler","to seem","Tu sembles plus fort que tu ne le penses."
"compter","to count; to matter","Chaque effort compte dans la réalisation de tes rêves."
"vers","toward; about","Tourne-toi vers l’avenir avec confiance."
"joli","pretty; nice","Quel joli sourire, il illumine la pièce."
"point","point; dot","C’est le point de départ d’une grande aventure."
"hier","yesterday","Hier est un souvenir, aujourd’hui est un cadeau."
"chien","dog","Le chien fidèle garde le secret de ton cœur."
"dont","whose; of which","Voici le livre dont je t’ai parlé hier."
"guerre","war","La guerre des idées se gagne par la paix intérieure."
"genre","kind; type","Ce genre de défi révèle ta véritable force."
"merde","shit; damn (slang)","Merde, tu as réussi là où personne n’osait."
"meilleur","best","Tu mérites le meilleur que la vie peut offrir."
"marier","to marry","Ils ont décidé de se marier sous un ciel étoilé."
"arme","weapon","La connaissance est l’arme la plus puissante."
"cause","cause; reason","L’amour est la cause de toutes nos plus belles victoires."
"endroit","place; spot","Cet endroit est le refuge de tes plus doux souvenirs."
"ordre","order; command","Donne-moi l’ordre de rêver, et je suivrai."
"poser","to put; to ask","Pose ta question et trouve ta propre réponse."
"reste","rest; remainder","Reste fidèle à toi-même quoi qu’il arrive."
"pied","foot; base","Mets un pied devant l’autre et avance vers ton but."
"envie","desire; craving","Ton envie de liberté est ton plus grand moteur."
"fin","end; finish","Chaque fin annonce un nouveau commencement."
"tiens","here; hold","Tiens, ce cadeau est pour toi, de tout mon cœur."
"inquiéter","to worry","Ne t’inquiète pas, je suis là pour te soutenir."
"bouger","to move","Bouge-toi pour transformer tes rêves en réalité."
"plutôt","rather; instead","Plutôt que d’attendre, prends l’initiative dès maintenant."
"apporter","to bring","Apporte ta lumière là où il fait sombre."
"pardon","sorry; forgiveness","Pardon accepté, maintenant avançons ensemble."
"photo","photo; picture","Cette photo capture l’instant où tout a changé."
"plein","full; plenty","Le cœur plein d’espoir, rien ne peut t’arrêter."
"devant","in front of","Devant l’adversité, puise ta force intérieure."
"décider","to decide","Décide-toi aujourd’hui à vivre sans regrets."
"ainsi","thus; so","Ainsi commence l’histoire dont tu es le héros."
"droit","right; law","Tu as le droit d’être toi-même, sans compromis."
"aucune","none; not any","Aucune montagne n’est trop haute pour celui qui ose."
"vendre","to sell","Vendre ses peurs, acheter sa liberté intérieure."
"école","school","L’école de la vie t’enseigne chaque jour une leçon."
"cher","expensive; dear","Ta liberté est trop chère pour être abandonnée."
"chef","chief; boss","Le chef d’orchestre transforme le chaos en harmonie."
"tourner","to turn","Tourne la page et écris un nouveau chapitre."
"cacher","to hide","Ne cache pas ton feu intérieur, fais-le briller."
"boulot","job; work (slang)","Ce boulot n’est qu’une étape vers ta véritable passion."
"pays","country; land","Protège ton pays, il est le reflet de ton âme."
"ceux","those; the ones","Ceux qui osent changent le monde autour d’eux."
"possible","possible","Tout devient possible lorsque tu crois en toi."
"expliquer","to explain","Laisse-moi t'expliquer comment réaliser tes rêves."
"battre","to beat; to fight","Chaque défi surmonté te rend plus fort pour battre tes peurs."
"peine","pain; sorrow","Ta peine d'aujourd'hui sera la force de demain."
"livre","book","Ce livre peut changer ta vision du monde en une seule page."
"agir","to act","Agis maintenant, car l'action crée le changement."
"imaginer","to imagine","Imagine un futur où tout est déjà accompli."
"tour","turn; tour","C'est ton tour de briller sous les projecteurs de la vie."
"adorer","to adore","J'adore voir ton sourire illuminer mes journées."
"vérité","truth","La vérité te libère, même si elle est difficile à entendre."
"recevoir","to receive","Apprends à recevoir la gratitude que tu mérites."
"gentil","kind; nice","Un geste gentil peut transformer une vie entière."
"jeter","to throw","Jette tes doutes au vent et avance sans peur."
"pleurer","to cry","Pleurer libère le cœur et prépare un nouveau départ."
"bébé","baby","Tu as l'innocence d'un bébé et la force d'un géant."
"partie","part; portion","Chaque partie de toi mérite d'être célébrée."
"nouvelle","new (f.)","Chaque nouvelle aube apporte une promesse d'espoir."
"jeu","game","La vie est un jeu où le courage est ta meilleure carte."
"amener","to bring (someone)","Amène ta lumière là où il fait sombre."
"instant","moment","Vis chaque instant comme s'il était unique."
"parent","parent","Un parent est le guide invisible de nos premiers pas."
"dur","hard; tough","Les moments les plus durs forgent les âmes les plus fortes."
"service","service; duty","Rendre service est la plus noble des actions."
"plaisir","pleasure","Trouve le plaisir dans chaque petit détail de la vie."
"promettre","to promise","Promets-toi de toujours suivre ton cœur."
"mentir","to lie","Mentir à soi-même est le plus grand des mensonges."
"soeur","sister","Ma sœur, ton courage m'inspire chaque jour."
"bientôt","soon","Bientôt, tu récolteras les fruits de ton travail."
"lit","bed","Sous les draps du lit, tu peux rêver ton futur."
"tellement","so much","Je t'aime tellement que les mots en sont impuissants."
"utiliser","to use","Utilise ta passion comme moteur de réussite."
"lieu","place; location","Trouve le lieu où ton esprit se sent libre."
"coucher","to lie down; to go to bed","Coucher tes idées sur papier, c'est leur donner vie."
"presque","almost","Tu es presque arrivé, ne t'arrête pas maintenant."
"dehors","outside","Sors dehors et respire la grandeur du monde."
"préférer","to prefer","Préférer l'espoir au doute est un acte de foi."
"content","happy","Sois content de qui tu es et de qui tu deviens."
"pauvre","poor","Même pauvre, tu es riche de tes rêves."
"offrir","to offer","Offre ton meilleur sans attendre en retour."
"roi","king","Sois le roi de ton royaume intérieur."
"verre","glass","Remplis ton verre de gratitude chaque matin."
"réveiller","to wake up","Réveille le géant qui sommeille en toi."
"aucun","none; not any","Aucun obstacle ne peut arrêter une volonté déterminée."
"aide","help","Demande de l'aide, c'est reconnaître ta force."
"d'abord","first; first of all","D'abord, prends soin de toi pour mieux aider les autres."
"journée","day","Fais de chaque journée une victoire personnelle."
"préparer","to prepare","Prépare ton esprit à accueillir le succès."
"numéro","number","Numéro un dans ton cœur, tu es unique."
"permettre","to allow","Permets-toi de rêver grand et d'oser le réaliser."
"ramener","to bring back","Ramène ton focus sur ce qui compte vraiment."
"enlever","to remove","Enlève tes doutes et avance avec confiance."
"chéri","darling","Mon chéri, tu es la lumière de ma vie."
"fort","strong","Sois fort face aux tempêtes de la vie."
"lâcher","to let go","Parfois il faut lâcher prise pour mieux avancer."
"choisir","to choose","Choisis ton chemin avec ton cœur, pas seulement ta tête."
"musique","music","La musique guérit l’âme comme rien d’autre."
"conduire","to drive","Conduis ta vie avec détermination et passion."
"faute","fault; mistake","Accepte ta faute, apprends et grandis."
"calmer","to calm","Calme ton esprit avant de prendre une décision."
"mariage","marriage","Le mariage est l’union de deux âmes courageuses."
"bureau","office; desk","Au bureau, apporte toujours ta meilleure énergie."
"route","road; way","Sur la route du succès, chaque pas compte."
"chanter","to sing","Chante ta propre chanson, unique et puissante."
"disparaître","to disappear","Laisse tes peurs disparaître devant ta volonté."
"lever","to raise; to get up","Lève-toi chaque matin avec un but clair."
"présenter","to introduce; to present","Permets-moi de te présenter la meilleure version de toi-même."
"accepter","to accept","Accepte-toi tel que tu es pour mieux t’améliorer."
"sinon","otherwise; if not","Fais-le maintenant, sinon tu le regretteras."
"long","long","Un long voyage commence toujours par un petit pas."
"café","coffee","Un bon café partagé crée des souvenirs inoubliables."
